^VIX (CBOE Volatility Index),18.34,-1.01
Aug 29 2019 @ 09:28 ET,Bid,0,Ask,0,Size,0x0,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
09/04/2019,VIXW190904C00010000,8.9,0,7.15,10.1,0,0.02,0,0,6,10.000,VIXW190904P00010000,0,0,0,0,0,0,0,0,0
09/04/2019,VIXW190904C00010500,0,0,6.65,9.6,0,0.02,0,0,0,10.500,VIXW190904P00010500,0,0,0,0,0,0,0,0,0
09/04/2019,VIXW190904C00011000,0,0,6.15,9.1,0,0.02,0,0,0,11.000,VIXW190904P00011000,0,0,0,0,0,0,0,0,0
09/04/2019,VIXW190904C00011500,0,0,5.65,8.6,0,0.02,0,0,0,11.500,VIXW190904P00011500,0.05,0,0,0.01,0,0.02,0,0,4
09/04/2019,VIXW190904C00012000,0,0,5.15,8.1,0,0.02,0,0,0,12.000,VIXW190904P00012000,0.03,0,0,0.02,0,0.02,0,0,125
09/04/2019,VIXW190904C00012500,0,0,4.65,7.6,0,0.02,0,0,0,12.500,VIXW190904P00012500,0.03,0,0,0.03,0,0.02,0,0,11
09/04/2019,VIXW190904C00013000,3.5,0,4.15,7.1,0,0.02,0,0,1,13.000,VIXW190904P00013000,0.02,0,0,0.04,0,0.02,0,0,75
09/04/2019,VIXW190904C00013500,4.2,0,3.65,6.6,0,0.02,0,0,25,13.500,VIXW190904P00013500,0.15,0,0,0.05,0,0.02,0,0,2
09/04/2019,VIXW190904C00014000,3.4,0,3.15,6.1,0,0.02,0,0,16,14.000,VIXW190904P00014000,0.03,0,0,0,0,0,0,0,327
09/04/2019,VIXW190904C00014500,6.2,0,2.7,5.6,0,0.02,0,0,6,14.500,VIXW190904P00014500,0.08,0,0,0.1,0,0.02,0,0,73
09/04/2019,VIXW190904C00015000,5.9,0,2.23,5.15,0,0.02,0,0,126,15.000,VIXW190904P00015000,0.07,0,0.01,0.11,0,0.02,0,0,441
09/04/2019,VIXW190904C00016000,4.6,0,0.82,4.4,0,0.02,0,0,51,16.000,VIXW190904P00016000,0.15,0,0,1.65,0,0.02,0,0,891
09/04/2019,VIXW190904C00017000,3.22,0,0,3.85,0,0.02,0,0,123,17.000,VIXW190904P00017000,0.28,0,0,2.25,0,0.02,0,0,356
09/04/2019,VIXW190904C00018000,2.45,0,0,3.4,0,0.02,0,0,163,18.000,VIXW190904P00018000,0.64,0,0,2.9,0,0.02,0,0,319
09/04/2019,VIXW190904C00019000,1.8,0,0,2.95,0,0.02,0,0,233,19.000,VIXW190904P00019000,1.3,0,0,3.6,0,0.02,0,0,131
09/04/2019,VIXW190904C00020000,1.6,0,0,2.59,0,0.02,0,0,867,20.000,VIXW190904P00020000,1.67,0,0.24,4.35,0,0.02,0,0,389
09/04/2019,VIXW190904C00021000,1.15,0,0,0,0,0,0,0,417,21.000,VIXW190904P00021000,2.3,0,1.12,5.15,0,0.02,0,0,44
09/04/2019,VIXW190904C00022000,0.8,0,0,0.89,0,0.02,0,0,7493,22.000,VIXW190904P00022000,2.9,0,2.05,5.95,0,0.02,0,0,10
09/04/2019,VIXW190904C00023000,0.7,0,0,1.88,0,0.02,0,0,182,23.000,VIXW190904P00023000,3.7,0,3,6.8,0,0.02,0,0,23
09/04/2019,VIXW190904C00024000,0.45,0,0,0,0,0,0,0,152,24.000,VIXW190904P00024000,4.9,0,4.05,7.65,0,0.02,0,0,1
09/04/2019,VIXW190904C00025000,0.4,0,0,0,0,0,0,0,492,25.000,VIXW190904P00025000,0,0,5.05,8.5,0,0.02,0,0,0
09/04/2019,VIXW190904C00026000,0.38,0,0,1.43,0,0.02,0,0,1908,26.000,VIXW190904P00026000,0,0,5.85,9.2,0,0.02,0,0,0
09/04/2019,VIXW190904C00027000,0.33,0,0,1.32,0,0.02,0,0,181,27.000,VIXW190904P00027000,0,0,6.95,10.1,0,0.02,0,0,0
09/04/2019,VIXW190904C00028000,0.2,0,0,1.22,0,0.02,0,0,162,28.000,VIXW190904P00028000,11.1,0,7.95,11,0,0.02,0,0,0
09/04/2019,VIXW190904C00029000,0.6,0,0,1.15,0,0.02,0,0,9,29.000,VIXW190904P00029000,0,0,9,11.9,0,0.02,0,0,0
09/04/2019,VIXW190904C00030000,0.19,0,0.03,1.14,0,0.02,0,0,3323,30.000,VIXW190904P00030000,9.8,0,10,12.9,0,0.02,0,0,1
